P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,restaurant_age_years,City Group_Other,Type_FC,Type_IL,revenue
4,5.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,1,2,2,2,4,5,4,1,3,3,1,1,1.0,4.0,2.0,3.0,5,3,4,5,5,4,3,4,10.461327857631758,False,False,True,5653753.0
4,5.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,3,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1.8809034907597535,False,True,False,6923131.0
2,4.0,2.0,5.0,2,3,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,-3.184120465434634,True,False,True,2055379.0
6,4.5,6.0,6.0,4,4,10,8,10,10,8,10,7.5,6,4,9,3,12,20,12,6,1,10,2,2,2.5,2.5,2.5,7.5,25,12,10,6,18,12,12,6,-2.086242299794661,True,False,True,2675511.0
3,4.0,3.0,4.0,2,2,5,5,5,5,2,5,5.0,2,1,2,1,4,2,2,1,2,1,2,3,3.0,5.0,1.0,3.0,5,1,3,2,3,4,3,3,0.648870636550308,True,False,True,4316715.0
6,6.0,4.5,7.5,8,10,10,8,8,8,10,8,6.0,0,0,0,0,0,5,6,3,1,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,-0.11498973305954825,False,True,False,5017319.0
2,3.0,4.0,4.0,1,5,5,5,5,5,2,5,5.0,3,4,4,3,4,2,4,1,2,1,5,4,4.0,5.0,1.0,3.0,4,5,2,2,3,5,4,4,-0.7748117727583846,False,False,True,5166635.0
4,5.0,4.0,5.0,2,3,5,4,4,4,4,3,4.0,0,0,0,0,0,3,5,2,4,2,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,-1.4674880219028064,False,False,True,4491607.0
1,1.0,4.0,4.0,1,2,1,5,5,5,1,5,5.0,1,1,2,1,4,1,1,1,1,1,4,4,4.0,2.0,2.0,3.0,4,5,5,3,4,5,4,5,-0.6543463381245722,True,False,True,4952497.0
6,4.5,6.0,7.5,6,4,10,10,10,10,2,10,7.5,0,0,0,0,0,25,3,3,1,10,0,0,0.0,0.0,5.0,2.5,0,0,0,0,0,0,0,0,-1.8726899383983573,True,False,True,5444227.0
9,6.0,6.0,6.0,4,4,10,8,10,10,8,10,7.5,0,0,0,0,0,25,15,15,3,20,0,0,0.0,0.0,10.0,2.5,0,0,0,0,0,0,0,0,-3.6030116358658453,True,True,False,3745135.0
2,4.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,2,2,5,2,4,2,5,1,1,3,5,2,3.0,5.0,3.0,3.0,5,5,4,2,3,4,4,2,-2.3874058863791925,False,False,True,5161370.0
2,2.0,4.0,4.0,2,1,5,4,5,5,3,5,5.0,0,0,0,0,0,3,4,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,-3.159479808350445,False,False,True,1734634.0
